numero,cor,paridade,duzia,coluna,setor,timestamp
10,preto,par,1,1,Tiers,2026-04-25 02:13:50
14,vermelho,par,2,2,Orphelins,2026-04-25 02:13:53
29,preto,impar,3,2,Voisins,2026-04-25 02:13:56
21,vermelho,impar,2,3,Voisins,2026-04-25 02:13:59
20,preto,par,2,2,Orphelins,2026-04-25 02:14:01
36,vermelho,par,3,3,Tiers,2026-04-25 02:14:04
31,preto,impar,3,1,Orphelins,2026-04-25 02:14:07
3,vermelho,impar,1,3,Voisins,2026-04-25 02:14:09
36,vermelho,par,3,3,Tiers,2026-04-25 02:14:12
0,verde,zero,0,0,Voisins,2026-04-25 02:14:13
13,preto,impar,2,1,Tiers,2026-04-25 02:14:16
32,vermelho,par,3,2,Voisins,2026-04-25 02:14:21
1,vermelho,impar,1,1,Orphelins,2026-04-25 02:14:57
16,vermelho,par,2,1,Tiers,2026-04-25 02:15:35
19,vermelho,impar,2,1,Voisins,2026-04-25 02:16:17
7,vermelho,impar,1,1,Voisins,2026-04-25 02:17:13
18,vermelho,par,2,3,Voisins,2026-04-25 02:18:11
7,vermelho,impar,1,1,Voisins,2026-04-25 02:18:17
18,vermelho,par,2,3,Voisins,2026-04-25 02:18:33
23,vermelho,impar,2,2,Tiers,2026-04-25 02:21:14
33,preto,impar,3,3,Tiers,2026-04-25 02:21:17
35,preto,impar,3,2,Voisins,2026-04-25 02:21:20
3,vermelho,impar,1,3,Voisins,2026-04-25 02:21:22
19,vermelho,impar,2,1,Voisins,2026-04-25 02:21:42
2,preto,par,1,2,Voisins,2026-04-27 14:08:53
1,vermelho,impar,1,1,Orphelins,2026-04-27 14:08:54
10,preto,par,1,1,Tiers,2026-04-27 14:08:55
10,preto,par,1,1,Tiers,2026-04-27 14:08:55
10,preto,par,1,1,Tiers,2026-04-27 14:08:56
10,preto,par,1,1,Tiers,2026-04-27 14:09:00
10,preto,par,1,1,Tiers,2026-04-27 14:09:02
10,preto,par,1,1,Tiers,2026-04-27 14:09:05
10,preto,par,1,1,Tiers,2026-04-27 14:09:06
10,preto,par,1,1,Tiers,2026-04-27 14:09:06
10,preto,par,1,1,Tiers,2026-04-27 14:09:07
10,preto,par,1,1,Tiers,2026-04-27 14:09:07
10,preto,par,1,1,Tiers,2026-04-27 14:09:07
10,preto,par,1,1,Tiers,2026-04-27 14:09:07
10,preto,par,1,1,Tiers,2026-04-27 14:09:07
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:08
10,preto,par,1,1,Tiers,2026-04-27 14:09:09
10,preto,par,1,1,Tiers,2026-04-27 14:09:09
10,preto,par,1,1,Tiers,2026-04-27 14:09:09
